cnae_classe;regiao_administrativa;saldo
Aparelhamento e outros trabalhos em pedras;Ribeirão Preto;    -9
Aparelhamento e outros trabalhos em pedras;Santos;     9
Aparelhamento e outros trabalhos em pedras;São José do Rio Preto;    -1
Aparelhamento e outros trabalhos em pedras;São José dos Campos;   -40
Aparelhamento e outros trabalhos em pedras;São Paulo;   -27
Aparelhamento e outros trabalhos em pedras;Sorocaba;    22
Aqüicultura em água doce;Araçatuba;     8
Aqüicultura em água doce;Barretos;    -2
Aqüicultura em água doce;Bauru;     0
Aqüicultura em água doce;Campinas;     1
Aqüicultura em água doce;Presidente Prudente;    -3
Aqüicultura em água doce;Registro;    -2
Aqüicultura em água doce;Ribeirão Preto;     0
Aqüicultura em água doce;Santos;     1
Aqüicultura em água doce;São José do Rio Preto;    16
Aqüicultura em água doce;São José dos Campos;     3
Aqüicultura em água doce;São Paulo;    42
Aqüicultura em água doce;Sorocaba;     0
Aqüicultura em água salgada e salobra;Campinas;     1
Aqüicultura em água salgada e salobra;Marília;     1
Aqüicultura em água salgada e salobra;Ribeirão Preto;    -1
Aqüicultura em água salgada e salobra;São Paulo;     7
Armazenamento;Araçatuba;     2
Armazenamento;Barretos;    14
Armazenamento;Bauru;     1
Armazenamento;Campinas;   139
Armazenamento;Franca;     9
Armazenamento;Itapeva;     9
Armazenamento;Marília;    -3
Armazenamento;Presidente Prudente;   -12
Armazenamento;Região Administrativa Central;   -22
Armazenamento;Registro;    -3
Armazenamento;Ribeirão Preto;  -118
Armazenamento;Santos;    30
Armazenamento;São José do Rio Preto;     6
Armazenamento;São José dos Campos;   -23
Armazenamento;São Paulo;   443
Armazenamento;Sorocaba;    -8
Arrendamento mercantil;São Paulo;     2
Artes cênicas, espetáculos e atividades complementares;Araçatuba;     2
Artes cênicas, espetáculos e atividades complementares;Barretos;     0
Artes cênicas, espetáculos e atividades complementares;Bauru;    -5
Artes cênicas, espetáculos e atividades complementares;Campinas;   -44
Artes cênicas, espetáculos e atividades complementares;Franca;    -7
Artes cênicas, espetáculos e atividades complementares;Marília;   -15
Artes cênicas, espetáculos e atividades complementares;Presidente Prudente;    -2
Artes cênicas, espetáculos e atividades complementares;Região Administrativa Central;     5
Artes cênicas, espetáculos e atividades complementares;Registro;    -1
Artes cênicas, espetáculos e atividades complementares;Ribeirão Preto;    -4
Artes cênicas, espetáculos e atividades complementares;Santos;     0
Artes cênicas, espetáculos e atividades complementares;São José do Rio Preto;   -20
Artes cênicas, espetáculos e atividades complementares;São José dos Campos;     3
Artes cênicas, espetáculos e atividades complementares;São Paulo;  -203
Artes cênicas, espetáculos e atividades complementares;Sorocaba;  -183
Atividades associativas não especificadas anteriormente;Araçatuba;     1
Atividades associativas não especificadas anteriormente;Barretos;    17
Atividades associativas não especificadas anteriormente;Bauru;    15
Atividades associativas não especificadas anteriormente;Campinas;   161
Atividades associativas não especificadas anteriormente;Franca;    19
Atividades associativas não especificadas anteriormente;Itapeva;     3
Atividades associativas não especificadas anteriormente;Marília;    12
Atividades associativas não especificadas anteriormente;Presidente Prudente;     1
Atividades associativas não especificadas anteriormente;Região Administrativa Central;    -4
Atividades associativas não especificadas anteriormente;Registro;     0
Atividades associativas não especificadas anteriormente;Ribeirão Preto;  -160
Atividades associativas não especificadas anteriormente;Santos;   -49
Atividades associativas não especificadas anteriormente;São José do Rio Preto;   -15
Atividades associativas não especificadas anteriormente;São José dos Campos;   183
Atividades associativas não especificadas anteriormente;São Paulo;  -116
Atividades associativas não especificadas anteriormente;Sorocaba;    23
Atividades auxiliares dos seguros, da previdência complementar e dos planos de saúde não especificadas anteriormente;Araçatuba;    -1
Atividades auxiliares dos seguros, da previdência complementar e dos planos de saúde não especificadas anteriormente;Barretos;     0
Atividades auxiliares dos seguros, da previdência complementar e dos planos de saúde não especificadas anteriormente;Bauru;     4
Atividades auxiliares dos seguros, da previdência complementar e dos planos de saúde não especificadas anteriormente;Campinas;    -6
Atividades auxiliares dos seguros, da previdência complementar e dos planos de saúde não especificadas anteriormente;Franca;     1
Atividades auxiliares dos seguros, da previdência complementar e dos planos de saúde não especificadas anteriormente;Itapeva;     0
Atividades auxiliares dos seguros, da previdência complementar e dos planos de saúde não especificadas anteriormente;Marília;     1
Atividades auxiliares dos seguros, da previdência complementar e dos planos de saúde não especificadas anteriormente;Região Administrativa Central;    -1
Atividades auxiliares dos seguros, da previdência complementar e dos planos de saúde não especificadas anteriormente;Ribeirão Preto;    -2
Atividades auxiliares dos seguros, da previdência complementar e dos planos de saúde não especificadas anteriormente;Santos;     0
Atividades auxiliares dos seguros, da previdência complementar e dos planos de saúde não especificadas anteriormente;São José do Rio Preto;    -7
